              N    Mean     SD     Min  Median     Max
car_01     8022   0.002  0.062  -0.436   0.001   0.459
stress_qa  8010   2.530  0.676   1.000   3.000   5.000
stress_pr  5762   2.032  0.630   1.000   2.000   4.000
vol        7866   0.021  0.010   0.006   0.018   0.105
mom        7914   0.013  0.200  -0.703  -0.005   2.913
lnmve      7758  10.502  1.039   7.220  10.349  15.075
bm         7758   0.340  0.324   0.000   0.248   5.338
UE         7764   0.133  0.529 -17.010   0.070  11.000
POSWORDS   8022   0.020  0.006   0.000   0.019   0.150
NEGWORDS   8022   0.007  0.004   0.000   0.006   0.079
